x, y, phi, CP_pressureSide
     -0.9615385,      0.0076923,      3.1335928,      0.0290903
     -0.8846154,      0.0230769,      3.1155116,      0.0468102
     -0.8076923,      0.0384615,      3.0940096,      0.0626356
     -0.7307692,      0.0538462,      3.0680414,      0.0752426
     -0.6538462,      0.0692308,      3.0361033,      0.0815910
     -0.5769231,      0.0846154,      2.9959643,      0.0869451
     -0.5000000,      0.1000000,      2.9441971,      0.0896882
     -0.4230769,      0.1153846,      2.8753406,      0.0919646
     -0.3461538,      0.1307692,      2.7803889,      0.0929272
     -0.2692308,      0.1461538,      2.6442499,      0.0935496
     -0.1923077,      0.1615385,      2.4429328,      0.0936038
     -0.1153846,      0.1769231,      2.1486983,      0.0938226
     -0.0384615,      0.1923077,      1.7681919,      0.0937486
      0.0384615,      0.1923077,      1.3734008,     -0.0461707
      0.1153846,      0.1769231,      0.9928944,     -0.0864449
      0.1923077,      0.1615385,      0.6986598,     -0.0997395
      0.2692308,      0.1461538,      0.4973427,     -0.1141963
      0.3461538,      0.1307692,      0.3612038,     -0.1193460
      0.4230769,      0.1153846,      0.2662520,     -0.1149222
      0.5000000,      0.1000000,      0.1973956,     -0.1194659
      0.5769231,      0.0846154,      0.1456284,     -0.1199788
      0.6538462,      0.0692308,      0.1054893,     -0.1213499
      0.7307692,      0.0538462,      0.0735513,     -0.1211246
      0.8076923,      0.0384615,      0.0475831,     -0.1198822
      0.8846154,      0.0230769,      0.0260810,     -0.1199754
      0.9615385,      0.0076923,      0.0079998,     -0.1202149
